,title,company,location,summary
0,Titre du poste : Assistant(e) administratif(ve),NewGen technologies,Sfax,Description du poste :   NewGen Technologies est une entreprise de conseil en informatique spécialisée dans la transformation et l'optimisation des processus mé…
1,Statisticien(ne),Lekocom,"Hammamet, Nabeul",Habitant de préférence sur le Cap Bon ou proche d'Hammamet   DISPONIBILITE IMMEDIATE   Profil recherché H/F   * Titulaire d'une formation Bac+3   * F…
2,STAGE / CDI Customer Success Officer,Med Start Now,Tunis,Stage/CDI Customer Success Officer     Prestataire de service pour une startup française.      La société est une Insurtech  qui veut libérer l&rsq…
3,Formatrice en informatique,CENTRE CPN,Sousse,Centre de formation privé CPN Cherche à recruter : une jeune fille pour la poste de conseiller ou formatrice en informatique ou informatique multimédia   …
4,Ingénieur Infrastructure - Tunis,NeoXam,Tunis,"CONTEXTE  L'Ingénieur Infrastructure (IE) déploie et administre les ressources nécessaires à la production attendue dans son domaine (systèmes et réseaux, sécurité, stockage, back-…"
5,Concepteur / Conceptrice de produits industriels mécaniques,STE NAUTILUS ARCHITECTE,"La Marsa, Tunis",Référence : 1140/2023/1790 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE NAUTILUS ARCHITECTE   Adresse :   ROUTE DE GAMMARTH KLM5 LA MARSA   Région :   T…
6,Technicien / Technicienne de maintenance en équipements industriels,STE WECO CONTACT TUNISIE SARL,"Béni Khalled, Nabeul",Référence : 2120/2023/828 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   STE WECO CONTACT TUNISIE SARL   Adresse :   ROUTE DE KORBA BENI KHALLED   Région :   …
7,Assistant commercial / Assistante commerciale,ESPACE MASSAR,"Akouda, Sousse",Référence : 5130/2023/1485 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   ESPACE MASSAR   Adresse :   DIMASS AKOUDA   Région :   SOUSSE   Code postal : 4022  …
8,Caissier / Caissière,HOTEL HASDRUBAL THALASSA,"Hammam Sousse, Sousse",Référence : 5130/2023/1481 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   HOTEL HASDRUBAL THALASSA   Adresse :   PORT EL KANTAOUI HAMMAM SOUSSE   Région :   S…
9,Dessinateur / Dessinatrice en architecture navale,STE NAUTILUS ARCHITECTE,"La Marsa, Tunis",Référence : 1140/2023/1791 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE NAUTILUS ARCHITECTE   Adresse :   ROUTE DE GAMMARTH KLM5 LA MARSA   Région :   T…
10,Comptable,COMPTABILITE MAHER BAHI,"Ksar Hellal, Monastir",Référence : 5220/2023/640 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   COMPTABILITE MAHER BAHI   Adresse :   IMB ZARRAD AV H BOURGUIBA KSAR HELLAL   Région …
11,Assistant / Assistante de direction,MONASTIR DIAL SERVICE (NECIB MOHAMED),Monastir,Référence : 5210/2023/1329 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   MONASTIR DIAL SERVICE (NECIB MOHAMED)   Adresse :   R 4 AV DE LA REPUBLIQUE MONASTIR…
12,Responsable management de la qualité,STE LABORATOIRE MEDICKA,"Béni Khalled, Nabeul",Référence : 2120/2023/830 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE LABORATOIRE MEDICKA   Adresse :   ROUTE DE KORBA BENI KHALLED   Région :   NABEUL…
13,Secrétaire médical / médicale,MEDECIN ORTHOPEDISTE MBAREK MEHDI,"Ezzahra, Ben Arous",Référence : 1320/2023/747 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   MEDECIN ORTHOPEDISTE MBAREK MEHDI   Adresse :   AV ENVIRON CENTRE MED BEN NASR EZZAHR…
14,Cuisinier / Cuisinière,HOTEL MEHARI HAMMAMET,"Hammamet, Nabeul",Référence : 2140/2023/1070 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   HOTEL MEHARI HAMMAMET   Adresse :   HAMMAMET SUD   Région :   NABEUL   Code postal :…
15,Chef boucher / bouchère,IMMOB.D'HOTEL.EN TUNISIE SIDHET RADISSON,"Hammamet, Nabeul",Référence : 2140/2023/1079 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   IMMOB.D'HOTEL.EN TUNISIE SIDHET RADISSON   Adresse :   ROUTE TOURISTIQUE AV.HEDI NOU…
16,Architecte d'intérieur,STE ARCHI BEN SLIMAN SARL (DESIGN ET D,"Téboulba, Monastir",Référence : 5240/2023/803 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   STE ARCHI BEN SLIMAN SARL (DESIGN ET D   Adresse :   CITE ENNASR TEBOULBA   Région : …
17,Croissantier/ Croissantière,HOTEL MEHARI HAMMAMET,"Hammamet, Nabeul",Référence : 2140/2023/1069 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   HOTEL MEHARI HAMMAMET   Adresse :   HAMMAMET SUD   Région :   NABEUL   Code postal :…
18,Agent(e) de fabrication en prod/transformation du verre,ABDELHAMID BEN ALI MISSAOUI MAGA VERRE C,Sousse,Référence : 5150/2023/775 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   ABDELHAMID BEN ALI MISSAOUI MAGA VERRE C   Adresse :   16 RUE EL JAHEDH-PRES MAISON D…
19,Préparateur / Préparatrice en pharmacie,PHARMACIE HABIB BELLAKHAL,"Ras Jebel, Bizerte",Référence : 2340/2023/321 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   PHARMACIE HABIB BELLAKHAL   Adresse :   RUE D'ALGERIE   Région :   BIZERTE   Code pos…
20,Titre du poste : Assistant(e) administratif(ve),NewGen technologies,Sfax,Description du poste :   NewGen Technologies est une entreprise de conseil en informatique spécialisée dans la transformation et l'optimisation des processus mé…
21,Statisticien(ne),Lekocom,"Hammamet, Nabeul",Habitant de préférence sur le Cap Bon ou proche d'Hammamet   DISPONIBILITE IMMEDIATE   Profil recherché H/F   * Titulaire d'une formation Bac+3   * F…
22,STAGE / CDI Customer Success Officer,Med Start Now,Tunis,Stage/CDI Customer Success Officer     Prestataire de service pour une startup française.      La société est une Insurtech  qui veut libérer l&rsq…
23,Formatrice en informatique,CENTRE CPN,Sousse,Centre de formation privé CPN Cherche à recruter : une jeune fille pour la poste de conseiller ou formatrice en informatique ou informatique multimédia   …
24,Ingénieur Infrastructure - Tunis,NeoXam,Tunis,"CONTEXTE  L'Ingénieur Infrastructure (IE) déploie et administre les ressources nécessaires à la production attendue dans son domaine (systèmes et réseaux, sécurité, stockage, back-…"
25,Concepteur / Conceptrice de produits industriels mécaniques,STE NAUTILUS ARCHITECTE,"La Marsa, Tunis",Référence : 1140/2023/1790 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE NAUTILUS ARCHITECTE   Adresse :   ROUTE DE GAMMARTH KLM5 LA MARSA   Région :   T…
26,Technicien / Technicienne de maintenance en équipements industriels,STE WECO CONTACT TUNISIE SARL,"Béni Khalled, Nabeul",Référence : 2120/2023/828 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   STE WECO CONTACT TUNISIE SARL   Adresse :   ROUTE DE KORBA BENI KHALLED   Région :   …
27,Assistant commercial / Assistante commerciale,ESPACE MASSAR,"Akouda, Sousse",Référence : 5130/2023/1485 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   ESPACE MASSAR   Adresse :   DIMASS AKOUDA   Région :   SOUSSE   Code postal : 4022  …
28,Caissier / Caissière,HOTEL HASDRUBAL THALASSA,"Hammam Sousse, Sousse",Référence : 5130/2023/1481 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   HOTEL HASDRUBAL THALASSA   Adresse :   PORT EL KANTAOUI HAMMAM SOUSSE   Région :   S…
29,Dessinateur / Dessinatrice en architecture navale,STE NAUTILUS ARCHITECTE,"La Marsa, Tunis",Référence : 1140/2023/1791 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE NAUTILUS ARCHITECTE   Adresse :   ROUTE DE GAMMARTH KLM5 LA MARSA   Région :   T…
30,Comptable,COMPTABILITE MAHER BAHI,"Ksar Hellal, Monastir",Référence : 5220/2023/640 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   COMPTABILITE MAHER BAHI   Adresse :   IMB ZARRAD AV H BOURGUIBA KSAR HELLAL   Région …
31,Assistant / Assistante de direction,MONASTIR DIAL SERVICE (NECIB MOHAMED),Monastir,Référence : 5210/2023/1329 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   MONASTIR DIAL SERVICE (NECIB MOHAMED)   Adresse :   R 4 AV DE LA REPUBLIQUE MONASTIR…
32,Responsable management de la qualité,STE LABORATOIRE MEDICKA,"Béni Khalled, Nabeul",Référence : 2120/2023/830 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE LABORATOIRE MEDICKA   Adresse :   ROUTE DE KORBA BENI KHALLED   Région :   NABEUL…
33,Secrétaire médical / médicale,MEDECIN ORTHOPEDISTE MBAREK MEHDI,"Ezzahra, Ben Arous",Référence : 1320/2023/747 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   MEDECIN ORTHOPEDISTE MBAREK MEHDI   Adresse :   AV ENVIRON CENTRE MED BEN NASR EZZAHR…
34,Cuisinier / Cuisinière,HOTEL MEHARI HAMMAMET,"Hammamet, Nabeul",Référence : 2140/2023/1070 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   HOTEL MEHARI HAMMAMET   Adresse :   HAMMAMET SUD   Région :   NABEUL   Code postal :…
35,Chef boucher / bouchère,IMMOB.D'HOTEL.EN TUNISIE SIDHET RADISSON,"Hammamet, Nabeul",Référence : 2140/2023/1079 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   IMMOB.D'HOTEL.EN TUNISIE SIDHET RADISSON   Adresse :   ROUTE TOURISTIQUE AV.HEDI NOU…
36,Architecte d'intérieur,STE ARCHI BEN SLIMAN SARL (DESIGN ET D,"Téboulba, Monastir",Référence : 5240/2023/803 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   STE ARCHI BEN SLIMAN SARL (DESIGN ET D   Adresse :   CITE ENNASR TEBOULBA   Région : …
37,Croissantier/ Croissantière,HOTEL MEHARI HAMMAMET,"Hammamet, Nabeul",Référence : 2140/2023/1069 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   HOTEL MEHARI HAMMAMET   Adresse :   HAMMAMET SUD   Région :   NABEUL   Code postal :…
38,Agent(e) de fabrication en prod/transformation du verre,ABDELHAMID BEN ALI MISSAOUI MAGA VERRE C,Sousse,Référence : 5150/2023/775 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   ABDELHAMID BEN ALI MISSAOUI MAGA VERRE C   Adresse :   16 RUE EL JAHEDH-PRES MAISON D…
39,Préparateur / Préparatrice en pharmacie,PHARMACIE HABIB BELLAKHAL,"Ras Jebel, Bizerte",Référence : 2340/2023/321 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   PHARMACIE HABIB BELLAKHAL   Adresse :   RUE D'ALGERIE   Région :   BIZERTE   Code pos…
40,Titre du poste : Assistant(e) administratif(ve),NewGen technologies,Sfax,Description du poste :   NewGen Technologies est une entreprise de conseil en informatique spécialisée dans la transformation et l'optimisation des processus mé…
41,Statisticien(ne),Lekocom,"Hammamet, Nabeul",Habitant de préférence sur le Cap Bon ou proche d'Hammamet   DISPONIBILITE IMMEDIATE   Profil recherché H/F   * Titulaire d'une formation Bac+3   * F…
42,STAGE / CDI Customer Success Officer,Med Start Now,Tunis,Stage/CDI Customer Success Officer     Prestataire de service pour une startup française.      La société est une Insurtech  qui veut libérer l&rsq…
43,Formatrice en informatique,CENTRE CPN,Sousse,Centre de formation privé CPN Cherche à recruter : une jeune fille pour la poste de conseiller ou formatrice en informatique ou informatique multimédia   …
44,Ingénieur Infrastructure - Tunis,NeoXam,Tunis,"CONTEXTE  L'Ingénieur Infrastructure (IE) déploie et administre les ressources nécessaires à la production attendue dans son domaine (systèmes et réseaux, sécurité, stockage, back-…"
45,Concepteur / Conceptrice de produits industriels mécaniques,STE NAUTILUS ARCHITECTE,"La Marsa, Tunis",Référence : 1140/2023/1790 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE NAUTILUS ARCHITECTE   Adresse :   ROUTE DE GAMMARTH KLM5 LA MARSA   Région :   T…
46,Technicien / Technicienne de maintenance en équipements industriels,STE WECO CONTACT TUNISIE SARL,"Béni Khalled, Nabeul",Référence : 2120/2023/828 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   STE WECO CONTACT TUNISIE SARL   Adresse :   ROUTE DE KORBA BENI KHALLED   Région :   …
47,Assistant commercial / Assistante commerciale,ESPACE MASSAR,"Akouda, Sousse",Référence : 5130/2023/1485 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   ESPACE MASSAR   Adresse :   DIMASS AKOUDA   Région :   SOUSSE   Code postal : 4022  …
48,Caissier / Caissière,HOTEL HASDRUBAL THALASSA,"Hammam Sousse, Sousse",Référence : 5130/2023/1481 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   HOTEL HASDRUBAL THALASSA   Adresse :   PORT EL KANTAOUI HAMMAM SOUSSE   Région :   S…
49,Dessinateur / Dessinatrice en architecture navale,STE NAUTILUS ARCHITECTE,"La Marsa, Tunis",Référence : 1140/2023/1791 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE NAUTILUS ARCHITECTE   Adresse :   ROUTE DE GAMMARTH KLM5 LA MARSA   Région :   T…
50,Comptable,COMPTABILITE MAHER BAHI,"Ksar Hellal, Monastir",Référence : 5220/2023/640 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   COMPTABILITE MAHER BAHI   Adresse :   IMB ZARRAD AV H BOURGUIBA KSAR HELLAL   Région …
51,Assistant / Assistante de direction,MONASTIR DIAL SERVICE (NECIB MOHAMED),Monastir,Référence : 5210/2023/1329 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   MONASTIR DIAL SERVICE (NECIB MOHAMED)   Adresse :   R 4 AV DE LA REPUBLIQUE MONASTIR…
52,Responsable management de la qualité,STE LABORATOIRE MEDICKA,"Béni Khalled, Nabeul",Référence : 2120/2023/830 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE LABORATOIRE MEDICKA   Adresse :   ROUTE DE KORBA BENI KHALLED   Région :   NABEUL…
53,Secrétaire médical / médicale,MEDECIN ORTHOPEDISTE MBAREK MEHDI,"Ezzahra, Ben Arous",Référence : 1320/2023/747 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   MEDECIN ORTHOPEDISTE MBAREK MEHDI   Adresse :   AV ENVIRON CENTRE MED BEN NASR EZZAHR…
54,Cuisinier / Cuisinière,HOTEL MEHARI HAMMAMET,"Hammamet, Nabeul",Référence : 2140/2023/1070 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   HOTEL MEHARI HAMMAMET   Adresse :   HAMMAMET SUD   Région :   NABEUL   Code postal :…
55,Chef boucher / bouchère,IMMOB.D'HOTEL.EN TUNISIE SIDHET RADISSON,"Hammamet, Nabeul",Référence : 2140/2023/1079 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   IMMOB.D'HOTEL.EN TUNISIE SIDHET RADISSON   Adresse :   ROUTE TOURISTIQUE AV.HEDI NOU…
56,Architecte d'intérieur,STE ARCHI BEN SLIMAN SARL (DESIGN ET D,"Téboulba, Monastir",Référence : 5240/2023/803 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   STE ARCHI BEN SLIMAN SARL (DESIGN ET D   Adresse :   CITE ENNASR TEBOULBA   Région : …
57,Croissantier/ Croissantière,HOTEL MEHARI HAMMAMET,"Hammamet, Nabeul",Référence : 2140/2023/1069 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   HOTEL MEHARI HAMMAMET   Adresse :   HAMMAMET SUD   Région :   NABEUL   Code postal :…
58,Agent(e) de fabrication en prod/transformation du verre,ABDELHAMID BEN ALI MISSAOUI MAGA VERRE C,Sousse,Référence : 5150/2023/775 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   ABDELHAMID BEN ALI MISSAOUI MAGA VERRE C   Adresse :   16 RUE EL JAHEDH-PRES MAISON D…
59,Préparateur / Préparatrice en pharmacie,PHARMACIE HABIB BELLAKHAL,"Ras Jebel, Bizerte",Référence : 2340/2023/321 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   PHARMACIE HABIB BELLAKHAL   Adresse :   RUE D'ALGERIE   Région :   BIZERTE   Code pos…
60,Titre du poste : Assistant(e) administratif(ve),NewGen technologies,Sfax,Description du poste :   NewGen Technologies est une entreprise de conseil en informatique spécialisée dans la transformation et l'optimisation des processus mé…
61,Statisticien(ne),Lekocom,"Hammamet, Nabeul",Habitant de préférence sur le Cap Bon ou proche d'Hammamet   DISPONIBILITE IMMEDIATE   Profil recherché H/F   * Titulaire d'une formation Bac+3   * F…
62,STAGE / CDI Customer Success Officer,Med Start Now,Tunis,Stage/CDI Customer Success Officer     Prestataire de service pour une startup française.      La société est une Insurtech  qui veut libérer l&rsq…
63,Formatrice en informatique,CENTRE CPN,Sousse,Centre de formation privé CPN Cherche à recruter : une jeune fille pour la poste de conseiller ou formatrice en informatique ou informatique multimédia   …
64,Ingénieur Infrastructure - Tunis,NeoXam,Tunis,"CONTEXTE  L'Ingénieur Infrastructure (IE) déploie et administre les ressources nécessaires à la production attendue dans son domaine (systèmes et réseaux, sécurité, stockage, back-…"
65,Concepteur / Conceptrice de produits industriels mécaniques,STE NAUTILUS ARCHITECTE,"La Marsa, Tunis",Référence : 1140/2023/1790 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE NAUTILUS ARCHITECTE   Adresse :   ROUTE DE GAMMARTH KLM5 LA MARSA   Région :   T…
66,Technicien / Technicienne de maintenance en équipements industriels,STE WECO CONTACT TUNISIE SARL,"Béni Khalled, Nabeul",Référence : 2120/2023/828 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   STE WECO CONTACT TUNISIE SARL   Adresse :   ROUTE DE KORBA BENI KHALLED   Région :   …
67,Assistant commercial / Assistante commerciale,ESPACE MASSAR,"Akouda, Sousse",Référence : 5130/2023/1485 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   ESPACE MASSAR   Adresse :   DIMASS AKOUDA   Région :   SOUSSE   Code postal : 4022  …
68,Caissier / Caissière,HOTEL HASDRUBAL THALASSA,"Hammam Sousse, Sousse",Référence : 5130/2023/1481 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   HOTEL HASDRUBAL THALASSA   Adresse :   PORT EL KANTAOUI HAMMAM SOUSSE   Région :   S…
69,Dessinateur / Dessinatrice en architecture navale,STE NAUTILUS ARCHITECTE,"La Marsa, Tunis",Référence : 1140/2023/1791 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE NAUTILUS ARCHITECTE   Adresse :   ROUTE DE GAMMARTH KLM5 LA MARSA   Région :   T…
70,Comptable,COMPTABILITE MAHER BAHI,"Ksar Hellal, Monastir",Référence : 5220/2023/640 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   COMPTABILITE MAHER BAHI   Adresse :   IMB ZARRAD AV H BOURGUIBA KSAR HELLAL   Région …
71,Assistant / Assistante de direction,MONASTIR DIAL SERVICE (NECIB MOHAMED),Monastir,Référence : 5210/2023/1329 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   MONASTIR DIAL SERVICE (NECIB MOHAMED)   Adresse :   R 4 AV DE LA REPUBLIQUE MONASTIR…
72,Responsable management de la qualité,STE LABORATOIRE MEDICKA,"Béni Khalled, Nabeul",Référence : 2120/2023/830 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE LABORATOIRE MEDICKA   Adresse :   ROUTE DE KORBA BENI KHALLED   Région :   NABEUL…
73,Secrétaire médical / médicale,MEDECIN ORTHOPEDISTE MBAREK MEHDI,"Ezzahra, Ben Arous",Référence : 1320/2023/747 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   MEDECIN ORTHOPEDISTE MBAREK MEHDI   Adresse :   AV ENVIRON CENTRE MED BEN NASR EZZAHR…
74,Cuisinier / Cuisinière,HOTEL MEHARI HAMMAMET,"Hammamet, Nabeul",Référence : 2140/2023/1070 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   HOTEL MEHARI HAMMAMET   Adresse :   HAMMAMET SUD   Région :   NABEUL   Code postal :…
75,Chef boucher / bouchère,IMMOB.D'HOTEL.EN TUNISIE SIDHET RADISSON,"Hammamet, Nabeul",Référence : 2140/2023/1079 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   IMMOB.D'HOTEL.EN TUNISIE SIDHET RADISSON   Adresse :   ROUTE TOURISTIQUE AV.HEDI NOU…
76,Architecte d'intérieur,STE ARCHI BEN SLIMAN SARL (DESIGN ET D,"Téboulba, Monastir",Référence : 5240/2023/803 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   STE ARCHI BEN SLIMAN SARL (DESIGN ET D   Adresse :   CITE ENNASR TEBOULBA   Région : …
77,Croissantier/ Croissantière,HOTEL MEHARI HAMMAMET,"Hammamet, Nabeul",Référence : 2140/2023/1069 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   HOTEL MEHARI HAMMAMET   Adresse :   HAMMAMET SUD   Région :   NABEUL   Code postal :…
78,Agent(e) de fabrication en prod/transformation du verre,ABDELHAMID BEN ALI MISSAOUI MAGA VERRE C,Sousse,Référence : 5150/2023/775 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   ABDELHAMID BEN ALI MISSAOUI MAGA VERRE C   Adresse :   16 RUE EL JAHEDH-PRES MAISON D…
79,Préparateur / Préparatrice en pharmacie,PHARMACIE HABIB BELLAKHAL,"Ras Jebel, Bizerte",Référence : 2340/2023/321 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   PHARMACIE HABIB BELLAKHAL   Adresse :   RUE D'ALGERIE   Région :   BIZERTE   Code pos…
